cycle,PC,func,mem,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0,0,LH,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,LH,,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2,2,ADD,,0,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0
3,3,LH,,0,6,14,8,3,0,0,0,0,0,0,0,0,0,0,0
4,4,ADD,,0,6,14,8,3,17,0,0,0,0,0,0,0,0,0,0
5,5,LH,,0,6,14,8,3,17,0,0,0,0,0,0,0,0,2,0
6,6,LH,,0,6,14,8,3,17,0,0,0,0,0,0,0,0,2,1
7,7,SUB,,0,6,14,8,3,17,5,0,0,0,0,0,0,0,2,1
8,8,ADD,,0,6,14,8,3,17,6,0,0,0,0,0,0,0,2,1
9,9,ADD,,0,6,14,8,3,17,6,0,0,0,0,0,0,0,2,1
10,10,ADD,,0,6,14,8,3,17,6,0,0,0,0,0,0,0,2,1
11,11,ADD,,0,6,14,8,3,17,6,0,0,0,0,0,0,0,2,1
12,12,SLT,,0,6,14,8,3,17,6,0,0,0,1,0,0,0,2,1
13,13,BEQ,,0,6,14,8,3,17,6,0,0,0,1,0,0,0,2,1
14,14,LH,,0,6,14,8,3,17,6,0,0,0,1,-54,0,0,2,1
15,15,LH,,0,6,14,8,3,17,6,0,0,0,1,-54,0,0,2,1
16,16,MUL,,0,6,14,8,3,17,6,0,0,0,1,-54,0,0,2,1
17,17,ADD,,0,6,14,8,3,17,6,0,0,0,1,-54,0,0,2,1
18,18,ADD,,0,6,14,8,3,17,6,0,1,0,1,-54,0,0,2,1
19,19,ADD,,0,7,14,8,3,17,6,0,1,0,1,-54,0,0,2,1
20,20,ADD,,0,7,15,8,3,17,6,0,1,0,1,-54,0,0,2,1
21,21,J,,0,7,15,8,3,17,6,0,1,0,1,-54,0,0,2,1
22,12,SLT,,0,7,15,8,3,17,6,0,1,0,1,-54,0,0,2,1
23,13,BEQ,,0,7,15,8,3,17,6,0,1,0,1,-54,0,0,2,1
24,14,LH,,0,7,15,8,3,17,6,0,1,0,1,-90,0,0,2,1
25,15,LH,,0,7,15,8,3,17,6,0,1,0,1,-90,34,0,2,1
26,16,MUL,,0,7,15,8,3,17,6,0,1,0,1,-90,34,-3060,2,1
27,17,ADD,,0,7,15,8,3,17,6,0,1,-3060,1,-90,34,-3060,2,1
28,18,ADD,,0,7,15,8,3,17,6,0,2,-3060,1,-90,34,-3060,2,1
29,19,ADD,,0,8,15,8,3,17,6,0,2,-3060,1,-90,34,-3060,2,1
30,20,ADD,,0,8,16,8,3,17,6,0,2,-3060,1,-90,34,-3060,2,1
31,21,J,,0,8,16,8,3,17,6,0,2,-3060,1,-90,34,-3060,2,1
32,12,SLT,,0,8,16,8,3,17,6,0,2,-3060,1,-90,34,-3060,2,1
33,13,BEQ,,0,8,16,8,3,17,6,0,2,-3060,1,-90,34,-3060,2,1
34,14,LH,,0,8,16,8,3,17,6,0,2,-3060,1,-74,34,-3060,2,1
35,15,LH,,0,8,16,8,3,17,6,0,2,-3060,1,-74,62,-3060,2,1
36,16,MUL,,0,8,16,8,3,17,6,0,2,-3060,1,-74,62,-4588,2,1
37,17,ADD,,0,8,16,8,3,17,6,0,2,-7648,1,-74,62,-4588,2,1
38,18,ADD,,0,8,16,8,3,17,6,0,3,-7648,1,-74,62,-4588,2,1
39,19,ADD,,0,9,16,8,3,17,6,0,3,-7648,1,-74,62,-4588,2,1
40,20,ADD,,0,9,17,8,3,17,6,0,3,-7648,1,-74,62,-4588,2,1
41,21,J,,0,9,17,8,3,17,6,0,3,-7648,1,-74,62,-4588,2,1
42,12,SLT,,0,9,17,8,3,17,6,0,3,-7648,0,-74,62,-4588,2,1
43,13,BEQ,,0,9,17,8,3,17,6,0,3,-7648,0,-74,62,-4588,2,1
44,22,SH,mem[17] = -7648,0,9,17,8,3,17,6,0,3,-7648,0,-74,62,-4588,2,1
45,23,ADD,,0,9,17,8,3,17,6,1,3,-7648,0,-74,62,-4588,2,1
46,24,ADD,,0,9,17,8,3,18,6,1,3,-7648,0,-74,62,-4588,2,1
47,25,SLT,,0,9,17,8,3,18,6,1,3,-7648,0,-74,62,-4588,1,1
48,26,BEQ,,0,9,17,8,3,18,6,1,3,-7648,0,-74,62,-4588,1,1
49,27,LH,,0,9,17,8,3,18,6,1,3,-7648,0,-74,62,-4588,3,1
50,28,SUB,,0,9,14,8,3,18,6,1,3,-7648,0,-74,62,-4588,3,1
51,29,SUB,,0,6,14,8,3,18,6,1,3,-7648,0,-74,62,-4588,3,1
52,30,MUL,,0,6,14,8,3,18,6,1,3,-7648,0,-74,62,-4588,84,1
53,31,ADD,,0,7,14,8,3,18,6,1,3,-7648,0,-74,62,-4588,84,1
54,32,J,,0,7,14,8,3,18,6,1,3,-7648,0,-74,62,-4588,84,1
55,10,ADD,,0,7,14,8,3,18,6,1,0,-7648,0,-74,62,-4588,84,1
56,11,ADD,,0,7,14,8,3,18,6,1,0,0,0,-74,62,-4588,84,1
57,12,SLT,,0,7,14,8,3,18,6,1,0,0,1,-74,62,-4588,84,1
58,13,BEQ,,0,7,14,8,3,18,6,1,0,0,1,-74,62,-4588,84,1
59,14,LH,,0,7,14,8,3,18,6,1,0,0,1,-90,62,-4588,84,1
60,15,LH,,0,7,14,8,3,18,6,1,0,0,1,-90,0,-4588,84,1
61,16,MUL,,0,7,14,8,3,18,6,1,0,0,1,-90,0,0,84,1
62,17,ADD,,0,7,14,8,3,18,6,1,0,0,1,-90,0,0,84,1
63,18,ADD,,0,7,14,8,3,18,6,1,1,0,1,-90,0,0,84,1
64,19,ADD,,0,8,14,8,3,18,6,1,1,0,1,-90,0,0,84,1
65,20,ADD,,0,8,15,8,3,18,6,1,1,0,1,-90,0,0,84,1
66,21,J,,0,8,15,8,3,18,6,1,1,0,1,-90,0,0,84,1
67,12,SLT,,0,8,15,8,3,18,6,1,1,0,1,-90,0,0,84,1
68,13,BEQ,,0,8,15,8,3,18,6,1,1,0,1,-90,0,0,84,1
69,14,LH,,0,8,15,8,3,18,6,1,1,0,1,-74,0,0,84,1
70,15,LH,,0,8,15,8,3,18,6,1,1,0,1,-74,34,0,84,1
71,16,MUL,,0,8,15,8,3,18,6,1,1,0,1,-74,34,-2516,84,1
72,17,ADD,,0,8,15,8,3,18,6,1,1,-2516,1,-74,34,-2516,84,1
73,18,ADD,,0,8,15,8,3,18,6,1,2,-2516,1,-74,34,-2516,84,1
74,19,ADD,,0,9,15,8,3,18,6,1,2,-2516,1,-74,34,-2516,84,1
75,20,ADD,,0,9,16,8,3,18,6,1,2,-2516,1,-74,34,-2516,84,1
76,21,J,,0,9,16,8,3,18,6,1,2,-2516,1,-74,34,-2516,84,1
77,12,SLT,,0,9,16,8,3,18,6,1,2,-2516,1,-74,34,-2516,84,1
78,13,BEQ,,0,9,16,8,3,18,6,1,2,-2516,1,-74,34,-2516,84,1
79,14,LH,,0,9,16,8,3,18,6,1,2,-2516,1,-74,34,-2516,84,1
80,15,LH,,0,9,16,8,3,18,6,1,2,-2516,1,-74,62,-2516,84,1
81,16,MUL,,0,9,16,8,3,18,6,1,2,-2516,1,-74,62,-4588,84,1
82,17,ADD,,0,9,16,8,3,18,6,1,2,-7104,1,-74,62,-4588,84,1
83,18,ADD,,0,9,16,8,3,18,6,1,3,-7104,1,-74,62,-4588,84,1
84,19,ADD,,0,10,16,8,3,18,6,1,3,-7104,1,-74,62,-4588,84,1
85,20,ADD,,0,10,17,8,3,18,6,1,3,-7104,1,-74,62,-4588,84,1
86,21,J,,0,10,17,8,3,18,6,1,3,-7104,1,-74,62,-4588,84,1
87,12,SLT,,0,10,17,8,3,18,6,1,3,-7104,0,-74,62,-4588,84,1
88,13,BEQ,,0,10,17,8,3,18,6,1,3,-7104,0,-74,62,-4588,84,1
89,22,SH,mem[18] = -7104,0,10,17,8,3,18,6,1,3,-7104,0,-74,62,-4588,84,1
90,23,ADD,,0,10,17,8,3,18,6,2,3,-7104,0,-74,62,-4588,84,1
91,24,ADD,,0,10,17,8,3,19,6,2,3,-7104,0,-74,62,-4588,84,1
92,25,SLT,,0,10,17,8,3,19,6,2,3,-7104,0,-74,62,-4588,1,1
93,26,BEQ,,0,10,17,8,3,19,6,2,3,-7104,0,-74,62,-4588,1,1
94,27,LH,,0,10,17,8,3,19,6,2,3,-7104,0,-74,62,-4588,3,1
95,28,SUB,,0,10,14,8,3,19,6,2,3,-7104,0,-74,62,-4588,3,1
96,29,SUB,,0,7,14,8,3,19,6,2,3,-7104,0,-74,62,-4588,3,1
97,30,MUL,,0,7,14,8,3,19,6,2,3,-7104,0,-74,62,-4588,98,1
98,31,ADD,,0,8,14,8,3,19,6,2,3,-7104,0,-74,62,-4588,98,1
99,32,J,,0,8,14,8,3,19,6,2,3,-7104,0,-74,62,-4588,98,1
100,10,ADD,,0,8,14,8,3,19,6,2,0,-7104,0,-74,62,-4588,98,1
101,11,ADD,,0,8,14,8,3,19,6,2,0,0,0,-74,62,-4588,98,1
102,12,SLT,,0,8,14,8,3,19,6,2,0,0,1,-74,62,-4588,98,1
103,13,BEQ,,0,8,14,8,3,19,6,2,0,0,1,-74,62,-4588,98,1
104,14,LH,,0,8,14,8,3,19,6,2,0,0,1,-74,62,-4588,98,1
105,15,LH,,0,8,14,8,3,19,6,2,0,0,1,-74,0,-4588,98,1
106,16,MUL,,0,8,14,8,3,19,6,2,0,0,1,-74,0,0,98,1
107,17,ADD,,0,8,14,8,3,19,6,2,0,0,1,-74,0,0,98,1
108,18,ADD,,0,8,14,8,3,19,6,2,1,0,1,-74,0,0,98,1
109,19,ADD,,0,9,14,8,3,19,6,2,1,0,1,-74,0,0,98,1
110,20,ADD,,0,9,15,8,3,19,6,2,1,0,1,-74,0,0,98,1
111,21,J,,0,9,15,8,3,19,6,2,1,0,1,-74,0,0,98,1
112,12,SLT,,0,9,15,8,3,19,6,2,1,0,1,-74,0,0,98,1
113,13,BEQ,,0,9,15,8,3,19,6,2,1,0,1,-74,0,0,98,1
114,14,LH,,0,9,15,8,3,19,6,2,1,0,1,-74,0,0,98,1
115,15,LH,,0,9,15,8,3,19,6,2,1,0,1,-74,34,0,98,1
