#0  offset = ( 15 , 15 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |  30   6   9  30  17  19  13  16   5   0  14  19   7  18  13  22
 1 |   0   0  23   1   8  20  25  26  22  20  22  14  27   2  23  15
 2 |  17   0   2  25  14  24  15  25  29  27  23  16  14   8  13  20
 3 |  12  15  17  23  16  23   3  13  20  29  21   8  11  29   4   6
 4 |  15  22   8  14  27  10  10  22  27   3  22   8   0  28  17   7
 5 |  24  30  12  13  29  10  26  22  12  23  30   2  26  28   9  22
 6 |   2  16   3   5   2  16   7  14   7   1  20   6   5  23   0  23
 7 |  12  21  16   8  23  22   6  31   6  11  27   4  15   5  13   8
 8 |  17  22  26   7   9  19  13   9   9  29  24  15   5   1   3  12
 9 |  15  28   4  18   6   2  16  15  11   1  17  23  20   2  25   4
10 |   4  16  21  26  26  28   5  16   9  31  11  13   9   1   2  15
11 |  11  27  17  18  19  24   0  14   1   1  10   2  16  25  20  16
12 |   3   5  29   9  28  17  22  10  15  15  20   7  23   1   4   7
13 |   7  25  30  16   4  30  29   5  17  18  14  13  11  19   7  22
14 |  22  31  26  25  23  27  10   0   4  20  28   5  24   7  18  29
15 |  12  31  20  21   2  30  16  27   4  30   4   0  13  23  25  29

#1  offset = ( 12 , 12 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |  31   4  28  13  25  11   6  17   7  19  21  14  28  19  23   4
 1 |   6  20  31  11  13   7   9   5  30  27  24  17   8  15   3   1
 2 |   7   4  16  14   0  23  31  11  12  14  11  24  24  17  12  24
 3 |  11  27   0   5  10  16  11   2  25  17  29  16   3  14  19   5
 4 |  28  28   0  27   5   7  13   5  16  10  31   7   4  28  25   6
 5 |   3  13   1  30  10  17   7  19  25  28   3   9  19  15  30  24
 6 |   8  18  21  26  17   3  25   7  28  13  26   4   9  29   5  23
 7 |  20  17  11  30  21  18   4   0   4   3  20   3   0  26  13   0
 8 |  17  15  21  21  12  18  10  25  24   2   3  21  15  27  24  17
 9 |   7  16   5  13  18  26  11  17   3  15  23   6  17  22   7   7
10 |   0  26  10  18  30  29   8   4  12  15   2   4  30  31  27  30
11 |   5  17  23  19  10  17   2  14  29   7  21  26  16  12  20  19
12 |  29  28  27  27  15  11  27  14   0  29   0  23  30  17  21   4
13 |  19  29   9  24   5   0  19   0  28  20  20   8   3   3  29  14
14 |  16  28  17  22   7   5  12   0  27  19   4  24  22  24  14  13
15 |  28  28   4   4  11  15   6  13   6  30  30  22  19   4   9  30

#2  offset = ( 7 , 7 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |  29  23  22   4   9  25   2  12  10  16  15  16  31  17  14  12
 1 |   4  20   9  15  28   6   8  18  14  30  22   9  14  18  31  24
 2 |  29  11  28   9  19  23  19  27  28  29  25  28   1  22  25  26
 3 |   9  26  26  22  31  24  27  26  22  11   2  13  10   9  22   4
 4 |   9  29   9  27  18  24  26   5  28   3  26   0  26  24  14  13
 5 |  29  18  20  31  27   2   9  17  15   3  10  28   1  16  26   9
 6 |   8  21   4   4  13   4   1  19  17   9  27   6  17  31  19  14
 7 |   9   4   0  18  23  10  26   0   2  16  22   1  27  17  18  16
 8 |   2  27  20  12  12   3  14  12   3  23   4  19  15  19  17   5
 9 |  20  24   7  24  27  26  21  14  22  25  14   2  30  19   8   0
10 |  31  23   2  27  23  29   9  25  27  20  29  17  26  28  16  25
11 |   6  22  15  25  16  25   3   4  19   6  26   7  20  30   2   2
12 |   8  18  22  24  23  26  28   2  31  10  13   8  28   3  23  18
13 |   7   6   0  28  29  15  12   9   1  31   1  25   4  25   9  30
14 |   4  18  23  11  19   3  14  14  26   0  30   0  29  14  16  26
15 |   0  17   4  10  10   3  24   6   9  12  12   0  23  14   5  27

#3  offset = ( 15 , 15 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |  22   6  30  11  28  19  28   4  21  19  25  22   9  31  27  28
 1 |  13   8  31  18   8  12  30  28  20   6  15   4   7  10  14  10
 2 |  18  17  27  23   9  18   6  18   5  19  10  23   7  30  23   5
 3 |  30  22  20  23  10  12   4  21   2  13   9  12  19  31   7  27
 4 |   9  12  10  15  19  29  10  18   2  11  14  31  19  18  15  25
 5 |  14   8  30  28  13  12   9  20   0   2  26  13  17  30   0  11
 6 |   4  30  18  27   1  29  17  10  20   6  13  20  21   6  11  31
 7 |   4   5   6   9  23  21  20   0  24  12  10  17   8  15   2   2
 8 |   9  16  27   4  26  26   2   3   3   9  16   0  20   0  20   1
 9 |  10  21  19   7  18  15  13   0  16  19   2  30   2  27  20   9
10 |   0   9  14  16   7  27   6   5  23  31  31  10  26   8  18   6
11 |   6   1  13  28   4   2  29  30  17   1   9  30   5  10  30   6
12 |  19  18  18   9  16   8   3  24  24  14   0  25  13   7  11  22
13 |   1  17  29  18  22  20  10   1   3  27   7  24  26   3   9   2
14 |   8  18  15  21  29  11   3   5  13  30  29  23  22   4   9  25
15 |   2  12  10  16  15  16  31  17  14  12   4  20   9  15  28   6

#4  offset = ( 0 , 9 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |  10  26  22  12  23  30   2  26  28   9  22   2  16   3   5   2
 1 |  16   7  14   7   1  20   6   5  23   0  23  12  21  16   8  23
 2 |  22   6  31   6  11  27   4  15   5  13   8  17  22  26   7   9
 3 |  19  13   9   9  29  24  15   5   1   3  12  15  28   4  18   6
 4 |   2  16  15  11   1  17  23  20   2  25   4   4  16  21  26  26
 5 |  28   5  16   9  31  11  13   9   1   2  15  11  27  17  18  19
 6 |  24   0  14   1   1  10   2  16  25  20  16   3   5  29   9  28
 7 |  17  22  10  15  15  20   7  23   1   4   7   7  25  30  16   4
 8 |  30  29   5  17  18  14  13  11  19   7  22  22  31  26  25  23
 9 |  27  10   0   4  20  28   5  24   7  18  29  12  31  20  21   2
10 |  30  16  27   4  30   4   0  13  23  25  29   5   4  19  20  19
11 |   1   6  24  14  24  11  16  21  28  19  24   0  21  27   8  22
12 |  30   0  24   0  11  21   4  30  15  19  13  24  29  17   1  24
13 |  13  20  28  22   1   8  15  20   8  16   0  12   3  26  17   6
14 |   7  22   5  14   2   9   0   6   1  29  15  24  17  27   9  14
15 |   5  28  20   5  24  28  10  31  19  16  29  24  17  26  25  28

#5  offset = ( 0 , 12 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |   7   1  21   2  14  29   6  29  20  10  12  10  17   7  21  14
 1 |   6   8  22  29   8  25  29  26  27   0   7  31   2   3  18  31
 2 |  22  10  22  11  22   6  16  18  30  18  31  12  27  25  18  25
 3 |  29  24   1   5  14   6  28  15   2  17   1  11  15  10  18   4
 4 |   0   4   5   6   4  24  30  27  12  13  26  20  21  23  13  10
 5 |   3  29  15   5  15  31  19  29   2  24  24  31   2   0   3  19
 6 |  12  22  12  28   3  28  24  31   7   2   7   8  10   8  15   9
 7 |  31  30   9   3  20  15  10  10   2  29  20   5   2  14  14  20
 8 |   2   8  18  21  25  25   6   7  23  26  13  16   0  20  30  29
 9 |  26   4  21   9   5  27   9   0  11   9  30   3  24  27  27  14
10 |  12   2  31  24  14  23  16  28   3  28  20  22   0   4   3  15
11 |  28  21  29  29   9  13  24   5   5   3  28   2  11  16  19  10
12 |  16  13  27  15  11  30  30   3  20  16   4   0  17  31   7   7
13 |  12  27   7   8   9  12  31   1  23  19  24  10   4  19  28  16
14 |  22  16  14   0  24  23  24   7  17  30   5  24  27  13  16  13
15 |  19  30  29  17  12   0   6  30   9   2  25   3  11  14   0   8

#6  offset = ( 3 , 3 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |  15   9  31  30   9   3  20  15  10  10   2  29  20   5   2  14
 1 |  14  20   2   8  18  21  25  25   6   7  23  26  13  16   0  20
 2 |  30  29  26   4  21   9   5  27   9   0  11   9  30   3  24  27
 3 |  27  14  12   2  31  24  14  23  16  28   3  28  20  22   0   4
 4 |   3  15  28  21  29  29   9  13  24   5   5   3  28   2  11  16
 5 |  19  10  16  13  27  15  11  30  30   3  20  16   4   0  17  31
 6 |   7   7  12  27   7   8   9  12  31   1  23  19  24  10   4  19
 7 |  28  16  22  16  14   0  24  23  24   7  17  30   5  24  27  13
 8 |  16  13  19  30  29  17  12   0   6  30   9   2  25   3  11  14
 9 |   0   8   7  20   0  20  28   9   7  15   3  15  31   4   8  23
10 |   8   9  24   4   5   2  27  18  22   2   4  23   6  20   7   8
11 |   6  26  11   0  25  19   0  28  17   2  18  10  26  13  30   4
12 |  22   3   4  23   9   1  30   9  21  23  16  26   9   6   1  10
13 |  21  13   9  28   2   5  11  25  31   9   5  24  31  26   5  28
14 |   1   2  30  30  16  23  28  13  13   3  20  20   9   1   0  27
15 |  23  10  10  16   1  18   6   7  26  12   4  31  20  21   6   8

#7  offset = ( 0 , 14 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |  27   1  29  17  10  20   6  13  20  21   6  11  31   4   5   6
 1 |   9  23  21  20   0  24  12  10  17   8  15   2   2   9  16  27
 2 |   4  26  26   2   3   3   9  16   0  20   0  20   1  10  21  19
 3 |   7  18  15  13   0  16  19   2  30   2  27  20   9   0   9  14
 4 |  16   7  27   6   5  23  31  31  10  26   8  18   6   6   1  13
 5 |  28   4   2  29  30  17   1   9  30   5  10  30   6  19  18  18
 6 |   9  16   8   3  24  24  14   0  25  13   7  11  22   1  17  29
 7 |  18  22  20  10   1   3  27   7  24  26   3   9   2   8  18  15
 8 |  21  29  11   3   5  13  30  29  23  22   4   9  25   2  12  10
 9 |  16  15  16  31  17  14  12   4  20   9  15  28   6   8  18  14
10 |  30  22   9  14  18  31  24  29  11  28   9  19  23  19  27  28
11 |  29  25  28   1  22  25  26   9  26  26  22  31  24  27  26  22
12 |  11   2  13  10   9  22   4   9  29   9  27  18  24  26   5  28
13 |   3  26   0  26  24  14  13  29  18  20  31  27   2   9  17  15
14 |   3  10  28   1  16  26   9   8  21   4   4  13   4   1  19  17
15 |   9  27   6  17  31  19  14   9   4   0  18  23  10  26   0   2

#8  offset = ( 0 , 11 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |   1  18   3  17  20  22  26   2   1  18   9  19  18  15  31   8
 1 |  15  10  24  30  12  21  15  19   1  26  19   8  26   2  29   5
 2 |  16  22   1  30  25   3   3  21  27   3  12   0   7  26  29  13
 3 |   3  30   3   3   8  27  12  11  14  22  25  14   4  16  20   0
 4 |   4  13   3  30   6  21  30  20  20  27  30   2  31  29  22   0
 5 |  16  11   7  31   1  11  14  18  13  27   1  13   4  25  26  12
 6 |   4   0  18  24   5  20  18   6  19   0   6   0   2  30  19   7
 7 |  29  23  11  25  31  11  30  16   6  19  19  12   4   4  24  18
 8 |  24  23  22  20  29   8   8  19   1  28  13   2  24   6  28  13
 9 |  18  11  24  26  10   4   4  14   1   4  24  19  11  27  21  25
10 |   8  26  22  27  21  24   7   3   4  21  26  16   9  29  24  23
11 |  23  14  21   8  11  30   7  19   6  23  24  11   1   4  26   9
12 |  28  17  26  20  23  13  24  31   5  19  22  19  30  10  15  15
13 |  20  10  11  13   8   0  16   8  29  20  26  27  13   8  14  10
14 |  28   3  11   7  10  15   3  14  12   0   9  18  29  23  10  28
15 |  17   5   1  17  10  20   6  19  15   2   7  11  25  15  26   5

#9  offset = ( 4 , 0 )

   |   0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
--------------------------------------------------------------------
 0 |   0  26  24  14  13  29  18  20  31  27   2   9  17  15   3  10
 1 |  28   1  16  26   9   8  21   4   4  13   4   1  19  17   9  27
 2 |   6  17  31  19  14   9   4   0  18  23  10  26   0   2  16  22
 3 |   1  27  17  18  16   2  27  20  12  12   3  14  12   3  23   4
 4 |  19  15  19  17   5  20  24   7  24  27  26  21  14  22  25  14
 5 |   2  30  19   8   0  31  23   2  27  23  29   9  25  27  20  29
 6 |  17  26  28  16  25   6  22  15  25  16  25   3   4  19   6  26
 7 |   7  20  30   2   2   8  18  22  24  23  26  28   2  31  10  13
 8 |   8  28   3  23  18   7   6   0  28  29  15  12   9   1  31   1
 9 |  25   4  25   9  30   4  18  23  11  19   3  14  14  26   0  30
10 |   0  29  14  16  26   0  17   4  10  10   3  24   6   9  12  12
11 |   0  23  14   5  27  28   0  15  29  19  30   6   6  17  31  22
12 |   0   3   7   1  22  24  29   1  10   0  31  15   2  18  21   4
13 |   3  20   4  29   1  22   5   4  22   0  21  13  17  14  13  30
14 |  16  24  20  19  17  23  20   0   5   5  10  25   6   5   2  14
